,0
0,买的太多余了！般
1,没有配送清洁包
2,已经贴好，可是无法启动，用不了
3,触控板开不开，也不给弄
4,不是我象中那么好用！！！！！
5,，？我还没收货啊，找不，信息又不发
6,点都不灵活，，用久了还启动不了
7,动不动就白，烂
8,黑哥，经常。撒子情况。
9,假货，买来不用，售后也不了，退了。
10,别的不是，购买今天就降了元
11,黑，换了又出了的问题
12,问题多多，慢，网页打不开，后悔
13,千万别买买来键盘都是坏的
14,有斑点，不合格
15,买个还多扣我万块。什么鸟公司
16,随安装的无法激活！
17,差售后服务差
18,家开下来，设就黑，要退货。
19,昨天刚的今天就开不开了我真的服了啊
20,不好，声音有些
21,有问题需要解决时，家会看片里的内容
22,不用，找了技术也不用
23,反应迟钝，跟被用了几年的样
24,不好用
25,不怎么好用
26,好棒耶
27,不支持的金士顿盘，直无法识别
28,我的键盘按键刚买就坏了
29,六月号买的
30,品控有问题，硬盘混用，我的是海力士的
31,什么我的不用
32,居然连个鼠标包都没有
33,安装操作我的验证码显示被别人使用过，根没办法激活！
34,逗我呢？刚买了就这这样了？？？还退货吗？
35,好慢，还会卡顿
36,手就是裂的这我跟谁说去
37,子有问题，经常断网不上。
38,买不天就这样
39,内部办公件无法使用，且无法安装
40,保价周期过就立马降价
41,死了狗屎玩意
42,，还不退货了？
43,全开不开，源指示灯也不亮！！
44,买了两天降了，说好的保价呢？？
45,开黑买了不俩月
46,坏点，已售后
47,右边和下边有亮边
48,有点问题，谨慎购买
49,刚买的就黑，唤不醒
50,刚过价保就降价，没话说了
51,售后差，刚买来有点卡，空格键不灵
52,辣鸡买了不个月就出现闪
53,才用了几次就黑了，玩在还在修
54,总是蓝，开不两分钟就重启
55,客服让我无话可说
56,有磕碰们推来推去没人负责说是人
57,买来没有多久，现在左键已经没有用了坏了
58,是坏的，不给换，不给退钱
59,有问题，可我买的属于残次品吧
60,买回来两天就老黑，没话说。
61,说白了就是卖个激活码，够黑的
62,升级声卡无声音
63,说实话真不咋地
64,什么西都不送
65,全是划痕，两次都是！
66,还客服
67,西不错但是包都没有就很差劲
68,指纹时常有问题，频繁蓝。
69,网络根不连接，下午刚的。。。
70,第次没有安装上，换的看看，不就退了
71,卡的比，再也不买了
72,我买个背包都没有给我发，也没人解决
73,买两件就寄件订单显示成；
74,是别人的退货，有明显使用过的摩擦痕迹，，
75,才买不个月，硬盘坏讲，系统进不去
76,没用俩月触摸板就坏了。。。
77,天两头就用不了，最后才说跟管家有冲突
78,只有。没有鼠标。包。
79,设计不合，右边就没插口
80,呼不出来客服也什么都不知道服了
81,被商家误导了，我根不是要买这个
82,卖了不两周就降价了。哎
83,右下角纯黑漏光，拍了视频！
84,用了天就出问题，蓝牙连接失。
85,买的第天就不开
86,没有什么用
87,刚刚买来，看个视卡了次，只强制关
88,刚买这也没多久就发现相用不了了
89,坏的，起退了，换家吧
90,没几天就出现这样的问题，也是服了
91,买不星期降百？你逗我呢
92,压的严重
93,感觉用不
94,按键不准，容易操作失误
95,刚拿来键盘就不，按不动什么鬼
96,动不动就死，卡住就不动了
97,这才几天，就有问题了，
98,周不，从降了，我也是郁闷了，再也不再这上面那买了。
99,慢差不好不好
100,买了几天，打不开数字键盘了
101,左面风扇不好使，子啦子啦的
102,感觉掉有点啊，
103,买了两天就降价了不懂
104,包装盒里没有激活码，就这样报废了？
105,不好刚买的偶卡
106,才用天键盘按键就翘起了
107,买错了，不给退，在天猫买还便宜，
108,刚买就降价两百，心凉凉
109,用了个月的样子，充不进了
110,不好用，下载的件闪退
111,安装操作无法激活使用，客服也不给解决
112,什么不激活
113,不激活。客服都是人。
114,刚买了两天就降价了，而且不支持价保
115,刚买就便宜百下便宜这么多？
116,使用不个月就坏了
117,买了还没有个月就降价了？
118,天后降价，没有价格保护
119,天货最牛
120,退货拿手质量不
121,个多月，蓝牙就出问题了，无蓝牙了
122,看视频老卡顿
123,物流很好，但是根激活不了，气死了
124,购买后无法开了
125,疯狂掉网，用的路由，过几秒掉次
126,购买不月，降价百。。。
127,装好了用不了真逗
128,刚买两天出了故障
129,刚买就降价，慎入
130,才个半月降价百块可还？
131,第次开，就不亮。
132,不开，才买不个月
133,妈勒戈壁的买了以后天个价
134,上来就白卡着不动了，最好别买
135,^_^建议家思而后
136,商品般，服务也不好。
137,头次买，鼠标啥的都不带，
138,激活过段时间不了显示过期
139,子开包装发现明显划痕，退货
140,没有触控板开关捷键
141,刚买就降价，然后因是券的原因还不保价
142,不用来要退货后来了下还是算了吧
143,发了个开过箱的促就这么搞啊
144,买天内，次降价，次降价，还不可以申请保价
145,服了服了，关都关不了
146,商品不错，刚买就降价，还不是天保价。
147,风扇声，智模下浏览网页与看视频只用不时
148,买了就降价，服了，家别买了
149,送了个包，又叫我退回去，又说送，我个现在都没货。
150,才买个月就降价？
151,刚刚了几天的就开始黑
152,个月不就闪，这子买？
153,千的，千的体验
154,光标移动后留下光标印痕
155,手左侧扬声就有杂音
156,购买都装服务包含什么？不够买的话，我得自己装零配件吗？
157,这才几天开始白点不开件
158,自动更个系统。经常黑。
159,不适用，浪费钱了，退货变成换货，我拿这不用的西有毛用。
160,才用几天就出问题了。。。醉了
161,用不了，也没人解决！
162,不太满意的次购物。
163,不自动熄，设置了也不管用！
164,换了有问题的给我
165,只说真的般
166,按的和显示的不致！！！乱的，！！！
167,上网慢，打开文档和表格同样慢
168,般太慢般般
169,用了十几天莫名出现掉漆现象
170,有划痕，掉漆的那种打算换了
171,买打开个文件件还卡，是不是水货慢
172,键盘凸起来了不好不好
173,系统更之后，卡得要死
174,买了半年不就进医院了个问题死
175,开不了了，刚买第天
176,买来办公做，天不就卡还官方店
177,发厉害，充也比较慢
178,才买个半月冲不上了
179,我要怎么确保收的这不是我换掉的
180,回来就是花，看不清楚
181,看视频会突然变糊，比较卡顿，不太推荐
182,真香！第用不了，第开不了！不换了退货！
183,试了好久才来评价，蓝、蓝、蓝
184,总是转圈，没反应，或者是白
185,质量不是太好，有点漏
