,0
0,买 太 多余 般
1,没有 配送 清洁 包
2,贴 无法 启动
3,触控板 开不开 弄
4,我象 中 好用
5,还 没收 货 找 信息 不发
6,点 都 灵活 用久 还 启动
7,白 烂
8,黑哥 经常 撒子 情况
9,假货 买来 不用 售后 退
10,购买 降 元
11,黑 换 问题
12,问题 慢 网页 打不开 后悔
13,千万别 买 买来 键盘 都 坏
14,斑点 合格
15,买个 还 扣 万块 鸟 公司
16,安装 无法 激活
17,差 售后服务 差
18,家开 设 黑 退货
19,昨天 开不开 真的 服
20,不好 声音
21,问题 需要 解决 时 家会 看片 里 内容
22,不用 找 技术 不用
23,反应迟钝 几年 样
24,不好
25,好用
26,棒 耶
27,支持 金士顿 盘 直 无法 识别
28,键盘 按键 刚买 坏
29,六月 号 买
30,品控 问题 硬盘 混用 海力士
31,不用
32,鼠标 包都 没有
33,安装操作 验证码 显示 根没 办法 激活
34,逗我 刚买 还 退货
35,好慢 还会 卡顿
36,手 裂 说
37,子有 问题 经常 断网
38,买不天
39,内部 办公 件 无法 无法 安装
40,保价 周期 立马 降价
41,死 狗屎 玩意
42,还 退货
43,全开 开 源 指示灯 不亮
44,买 两天 降 说好 保价
45,开黑 买 俩 月
46,坏点 售后
47,右边 下边 有亮
48,有点 问题 谨慎 购买
49,刚买 黑 唤不醒
50,刚过 价保 降价 没话说
51,售后 差 买来 有点 卡 空格键 不灵
52,辣鸡 买 不个 月 闪
53,几次 黑 玩 还 修
54,蓝 开 两分钟 重启
55,客服 无话可说
56,磕碰 推来推去 没 负责 说
57,买来 没有 多久 现在 左键 没有 坏
58,坏 换 退钱
59,问题 买 残次品
60,买回来 两天 老 黑 没话说
61,说白了 卖个 激活码 够 黑
62,升级 声卡 无 声音
63,说实话 真
64,西都 送
65,全是 划痕 两次 都
66,还 客服
67,西 不错 包都 没有 差劲
68,指纹 时常 问题 频繁 蓝
69,网络 根不 连接 下午
70,次 没有 安装 换 看看 退
71,卡 再也 不买
72,我买个 背包 都 没有 给我发 没人 解决
73,买 两件 寄件 订单 显示 成
74,退货 明显 摩擦 痕迹
75,买 不个 月 硬盘 坏 讲 系统 进不去
76,没用 俩 月 触摸板 坏
77,天 两头 最后 说 管家 冲突
78,没有 鼠标 包
79,设计 不合 右边 没 插口
80,呼 客服 都 知道 服
81,商家 误导 我根 买
82,卖 两周 降价
83,右下角 纯黑 漏光 拍 视频
84,天 问题 蓝牙 连接 失
85,买 第天 不开
86,没有
87,刚刚 买来 看个 视卡 次 强制 关
88,刚买 没多久 发现 相用
89,坏 起退 换家
90,没 几天 问题 服
91,买 星期 降百 逗我
92,压
93,感觉
94,按键 不准 操作失误
95,拿来 键盘 按不动 鬼
96,死 卡住 不动
97,这才 几天 问题
98,周 从降 郁闷 再也 那买
99,慢差 好不好
100,买 几天 打不开 数字键盘
101,左面 风扇 不好 子啦子
102,感觉 掉 有点
103,买 两天 降价 懂
104,包装盒 里 没有 激活码 报废
105,不好 刚买 偶卡
106,用天 键盘 按键 翘起
107,买错 退 天猫 买 还 便宜
108,刚买 降价 两百 心 凉凉
109,月 样子 充不进
110,不好 下载 件 闪退
111,安装操作 无法 激活 客服 解决
112,激活
113,激活 客服 都
114,刚买 两天 降价 支持 价保
115,刚买 便宜 百 便宜
116,不个 月 坏
117,买 还 没有 月 降价
118,天后 降价 没有 价格 保护
119,天货 最牛
120,退货 拿手 质量
121,多月 蓝牙 问题 无 蓝牙
122,看 视频 老卡顿
123,物流 根 激活 气死
124,购买 无法 开
125,疯狂 掉 网 路由 几秒 掉次
126,购买 不月 降价 百
127,装好 真逗
128,刚买 两天 故障
129,刚买 降价 慎入
130,半月 降价 百块 还
131,第次 开 不亮
132,开 买 不个 月
133,妈勒 戈壁 买 天个 价
134,白卡 不动 最好 别买
135,建议 家思 而后
136,商品 般 服务 不好
137,头次 买 鼠标 都 不带
138,激活 过段时间 显示 过期
139,子开 包装 发现 明显 划痕 退货
140,没有 触控板 开关 捷键
141,刚买 降价 因是 券 原因 还 保价
142,用来 退货 算了吧
143,发了 开过 箱 促 搞
144,买天 次 降价 次 降价 还 申请 保价
145,服 服 关都 关不了
146,商品 不错 刚买 降价 还 天 保价
147,风扇 声 智模 浏览 网页 看 视频 只用
148,买 降价 服 家别 买
149,送 包 退回去 说 送 我个 现在 都 没货
150,买 月 降价
151,刚刚 几天 黑
152,月 闪 这子 买
153,体验
154,光标 移动 留下 光标 印痕
155,手 左侧 扬声 杂音
156,购买 都 装 服务 包含 买 装 零配件
157,这才 几天 白点 不开件
158,自动 更个 系统 经常 黑
159,适用 浪费 钱 退货 换货 不用 西有 毛用
160,几天 问题 醉
161,没人 解决
162,不太 满意 次 购物
163,自动 熄 设置
164,换 问题
165,说真的 般
166,显示 不致 乱
167,上网 慢 打开文档 表格 慢
168,般 太慢 般般
169,十几天 莫名 掉 漆 现象
170,划痕 掉 漆 那种 打算 换
171,买 打开 文件 件 还 卡 是不是 水货 慢
172,键盘 凸起来 好不好
